"","nameList","rating"
"3351","Mate Delic",3.343
"1104","Marty Davis",3.343
"3249","Steve Johnson",3.343
"2718","Ilija Bozoljac",3.342
"3551","Filip Horansky",3.341
"484","Balazs Taroczy",3.34
"5075","Cedric Kauffmann",3.339
"3066","Janez Semrajc",3.339
"3055","Ruben Bemelmans",3.339
"1729","Thomas Buchmayer",3.338
"3027","Adrian Mannarino",3.338
"560","Peter Fleming",3.337
"3080","Jesse Witten",3.337
"2622","Frank Dancevic",3.336
"2348","Jean Baptiste Perlant",3.336
"3111","Ze Zhang",3.335
"1988","Bartlomiej Dabrowski",3.333
"1958","Chi Wan Kim",3.332
"1027","Sammy Giammalva Jr",3.331
"2134","Ramon Delgado",3.331
"3200","Federico Delbonis",3.331
"2329","Alex Calatrava",3.33
"3489","Casper Ruud",3.329
"2190","Takao Suzuki",3.329
"3387","Jared Donaldson",3.329
"3237","Marco Trungelliti",3.328
"2111","Nicolas Lapentti",3.327
"5602","Laurent Lokoli",3.326
"1578","Arnaud Boetsch",3.326
"1651","Markus Zillner",3.325
"5591","Brayden Schnur",3.325
"1442","Roger Knapp",3.325
"1030","Marcos Hocevar",3.324
"1085","Joakim Berner",3.323
"3590","Edris Fetisleam",3.323
"1026","Jerome Potier",3.322
"2143","Stephen Noteboom",3.322
"86","Ramanathan Krishnan",3.321
"3250","Clement Reix",3.321
"2716","Frederik Nielsen",3.32
"1189","Mike De Palmer",3.318
"39","Tony Roche",3.318
"2887","Mathieu Montcourt",3.318
"2755","Nicolas Devilder",3.318
"2587","Marcelo Barboza",3.315
"1391","Bud Schultz",3.315
"2156","Albert Portas",3.314
"3501","Laslo Djere",3.314
"3195","Michael Yani",3.313
"2231","Michal Tabara",3.313
"2381","Kepler Orellana",3.312
"2438","Frederic Niemeyer",3.312
"1955","Younes El Aynaoui",3.312
"1082","Thomas Emmrich",3.312
"1297","Eric Jelen",3.312
"1134","Cliff Skakle",3.31
"2495","Nikolay Davydenko",3.31
"3065","Reda El Amrani",3.31
"2016","Thomas Johansson",3.309
"1654","Philippe Pech",3.309
"3235","Colin Fleming",3.308
"3137","Matthew Ebden",3.307
"1475","Richey Reneberg",3.307
"2796","Frederico Gil",3.307
"2164","Noam Behr",3.307
"3450","Adam Pavlasek",3.306
"2919","Sam Warburg",3.306
"1253","Miloslav Mecir",3.305
"2760","Jonathan Marray",3.304
"3015","Maximo Gonzalez",3.303
"3201","Thomas Schoorel",3.303
"5300","Luke Bourgeois",3.302
"557","Brian Teacher",3.301
"1821","Jan Siemerink",3.3
"81","Bob Carmichael",3.3
"3555","Jay Clarke",3.299
"352","Shiv Prakash Misra",3.299
"3345","Ramkumar Ramanathan",3.299
"3133","Evgeny Donskoy",3.299
"1265","Claudio Mezzadri",3.299
"1016","Marko Ostoja",3.298
"2843","Ivan Navarro",3.298
