"","nameList","rating"
"2342","George Bastl",3.383
"1774","Fabrice Santoro",3.3817
"2360","Oscar Burrieza",3.3797
"2836","Nathan Healey",3.3793
"3536","Evan King",3.3791
"3242","James Duckworth",3.378
"76","Harald Elschenbroich",3.3775
"2702","Michal Mertinak",3.3768
"2885","Dudi Sela",3.3762
"4451","Ross Olivieri",3.3751
"1883","Rodolphe Gilbert",3.372
"2923","Louk Sorensen",3.3703
"62","Arthur Ashe",3.3694
"2879","Rui Machado",3.3693
"1443","Jay Berger",3.3691
"3394","Gerald Melzer",3.3689
"2958","Robin Haase",3.3688
"1125","Michael Mortensen",3.3674
"3489","Tristan Lamasine",3.3643
"1123","Eduardo Bengoechea",3.3638
"1001","Roland Steigler",3.3634
"550","Bernard Mitton",3.363
"3049","Joao Sousa",3.3629
"1074","Shahar Perkiss",3.3616
"2479","Cyril Saulnier",3.3606
"3166","Yong Kyu Lim",3.3603
"1058","Tim Mayotte",3.3598
"2503","Nicolas Coutelot",3.3591
"3474","Bjorn Fratangelo",3.3586
"2544","Kalle Flygt",3.358
"3524","Gianluigi Quinzi",3.3572
"688","Gene Mayer",3.3571
"2912","Lukas Lacko",3.3554
"527","Alex Mayer",3.3554
"2357","Kepler Orellana",3.3544
"3070","Ryler Deheart",3.3542
"2167","Takao Suzuki",3.354
"2152","Hyung Taik Lee",3.3538
"3015","Jesse Huta Galung",3.3531
"3417","Liam Broady",3.3529
"3311","Martin Alund",3.3519
"3241","Robert Farah",3.3516
"1779","Thomas Buchmayer",3.3504
"3546","Mackenzie Mcdonald",3.3503
"2548","Jonas Froberg",3.3502
"2077","Hendrik Jan Davids",3.3498
"446","Eddie Dibbs",3.3498
"2416","Fernando Gonzalez",3.3496
"3023","Bruno Rodriguez",3.3495
"1110","Alberto Jimenez",3.3485
"1831","Danny Sapsford",3.3483
"2193","Magnus Norman",3.3479
"1678","Doug Flach",3.3475
"1082","Konstantin Pugayev",3.3474
"442","Brian Gottfried",3.3473
"1395","Franco Davin",3.3472
"1489","Ioannis Rigas",3.3459
"3059","Brendan Evans",3.3453
"3313","Diego Sebastian Schwartzman",3.3452
"2497","Jarkko Nieminen",3.345
"5471","Michel Koning",3.3449
"1691","Goran Ivanisevic",3.3441
"3596","Yosuke Watanuki",3.3422
"2860","Ivan Navarro",3.3411
"3237","Mathieu Rodrigues",3.3408
"2164","Felix Mantilla",3.3385
"2931","Mischa Zverev",3.3382
"1459","Mark Woodforde",3.3371
"3393","Nicolas Jarry",3.3369
"2481","Michael Llodra",3.3355
"2868","Go Soeda",3.3348
"1107","Marty Davis",3.3333
"3053","Miguel Angel Lopez Jaen",3.3331
"3450","Noah Rubin",3.3316
"2399","Bob Bryan",3.3308
"224","Jan Leschly",3.3295
"1917","Andrei Medvedev",3.3278
"2101","Marcelo Rios",3.3276
"1148","Mark Dickson",3.3268
"2696","Edgardo Massa",3.3264
"3185","Benoit Paire",3.3264
"3496","Joris De Loore",3.3252
"3084","Ivan Dodig",3.3252
"2021","Keith Evans",3.324
"2610","Julien Benneteau",3.3237
"1029","Joakim Berner",3.3234
"3579","Edris Fetisleam",3.3234
"1985","Dave Randall",3.3232
"3061","Lukas Rosol",3.3223
"39","Tony Roche",3.3218
"756","S Johansson",3.3195
"3451","Thiago Monteiro",3.318
"5776","Christopher Oconnell",3.3179
"2189","Massimo Calvelli",3.3178
"3588","Jay Clarke",3.3168
"260","Rafael Osuna",3.316
"2916","Andre Ghem",3.3155
"3395","Jared Donaldson",3.3152
"833","Bruce Foxworth",3.3152
"2348","Alex Calatrava",3.3148
"1686","Markus Zillner",3.3134
"2490","Juan Ignacio Chela",3.3124
"1143","Jeff Davis",3.3117
"1220","Junie Chatman",3.3114
"2073","Axel Finnberg",3.3107
"286","Shiv Prakash Misra",3.3099
"1297","Miloslav Mecir",3.3099
"2099","Jerome Golmard",3.3097
"3445","Thomas Fabbiano",3.309
"3346","Gonzalo Lama",3.3089
"1992","Juan Albert Viloca Puig",3.3077
"3196","Alexander Bury",3.3069
"852","Gilles Moretton",3.3067
"3182","Franco Skugor",3.3062
"3135","Igor Sijsling",3.3059
"1667","Ned Caswell",3.3054
"882","Yannick Noah",3.3043
"3434","Marcelo Demoliner",3.3042
"2022","Jonas Bjorkman",3.3026
"1317","Mark Kratzmann",3.3024
"1586","Sergio Ribeiro",3.3017
"1769","Mark Kaplan",3.3014
"2221","Oscar Bustos",3.3006
"2371","Xavier Malisse",3.3002
"1040","Marcos Hocevar",3.2981
"2711","Ilija Bozoljac",3.2967
"3369","Roberto Carballes Baena",3.2946
"2565","Feliciano Lopez",3.2937
"553","Ulrich Pinner",3.2911
